feature,importancia
PM10,0.5076265975558679
log_CO,0.17596965578563728
CO,0.15559402534133765
log_NO2,0.02215547856871927
DEWP,0.022090693191750558
temp_dewp_diff,0.020973421207185573
NO2,0.0170240922716215
O3,0.008524023105390887
PRES,0.008391502073344093
log_SO2,0.008275668215281067
TEMP,0.007853762103419142
SO2,0.007816200286861228
mes_cos,0.005909361396809278
WSPM,0.004852034330635258
mes_sin,0.00458178353876749
hora_sin,0.0039572880808899915
hora_cos,0.003564840303047545
dow_sin,0.0029839867515279207
dow_cos,0.0020061304125180784
season_spring,0.001347981098109651
season_winter,0.0007655383563151364
station_Dingling,0.0006304820881888188
station_Wanshouxigong,0.0006108646543087817
season_autumn,0.0005669139137715539
station_Shunyi,0.0004994036788035074
station_Huairou,0.0004909590994304268
station_Dongsi,0.00044229026959736865
station_Changping,0.0003648716474652548
station_Wanliu,0.0003634492960260675
station_Gucheng,0.0003102541961844774
season_summer,0.0003095744824586428
station_Aotizhongxin,0.0003057855360216623
RAIN,0.0002982879429136137
station_Tiantan,0.00023604221248507196
station_Nongzhanguan,0.0002238824434387867
wd_NW,0.00019259775811597326
wd_WNW,0.00019189007687600085
wd_N,0.00016691815797572376
wd_NE,0.00016687171923627256
station_Guanyuan,0.00015272481361026247
wd_NNW,0.000148058524803894
wd_SW,0.0001351874598159424
wd_NNE,0.000133533679550169
wd_W,0.0001294785420462197
wd_E,0.00010807463383341826
wd_ENE,0.00010603794391317111
wd_ESE,8.818860137131935e-05
wd_WSW,8.611684695590043e-05
wd_SSW,8.167550959011311e-05
wd_S,6.885398372162824e-05
wd_SE,6.612194806323863e-05
wd_SSE,6.0544364390349974e-05
